Unnamed: 0,Project,project name,source,gis,latitude,longitude,Lat Long Values,new price,old price,type,pincode,address,size,BHK,city,RERA Approved,final_price
2022248,"Nirmala Dokuris Meghadri Heights, Pedso 2",Nirmala Dokuris Meghadri Heights,"3rd party, Property Science",,17.512328,78.542507,,5097.0,,Stand Alone / Apartment,500094.0,Pedso 2,787.15,,,no,4012103.55
2022249,"Nirmala Dokuris Meghadri Heights, Pedso 2",Nirmala Dokuris Meghadri Heights,"3rd party, Property Science",,17.512328,78.542507,,5097.0,,Stand Alone / Apartment,500094.0,Pedso 2,812.5,,,no,4141312.5
2022250,"Nirmala Gauthami Niwas, Yapral",Nirmala Gauthami Niwas,"3rd party, Property Science",,17.50621978,78.54053743,,4915.0,,Commercial Spaces,500087.0,Yapral,362.7,,,no,1782670.5
2022251,"Nirmala Gauthami Niwas, Yapral",Nirmala Gauthami Niwas,"3rd party, Property Science",,17.50621978,78.54053743,,4915.0,,Commercial Spaces,500087.0,Yapral,390.0,,,no,1916850.0
2022252,"Nmr Infra, Kalyan Gardens",Nmr Infra,"3rd party, Property Science",,17.49987305,78.54173218,,6000.0,,Unknown,500087.0,Kalyan Gardens,2055.0,,,no,12330000.0
2022253,"Nmr Infra, Kalyan Gardens",Nmr Infra,"3rd party, Property Science",,17.49987305,78.54173218,,6000.0,,Unknown,500087.0,Kalyan Gardens,2075.0,,,no,12450000.0
2022254,"Om Patels Bright View, Yapral",Om Patels Bright View,"3rd party, Property Science",,17.519417,78.54125,,10208.0,,Gated community / Apartment,500010.0,Yapral,1266.0,,,no,12923328.0
2022255,"Om Patels Bright View, Yapral",Om Patels Bright View,"3rd party, Property Science",,17.519417,78.54125,,10208.0,,Gated community / Apartment,500010.0,Yapral,1300.0,,,no,13270400.0
2022256,"Om Patels Bright View, Yapral",Om Patels Bright View,"3rd party, Property Science",,17.519417,78.54125,,10208.0,,Gated community / Apartment,500010.0,Yapral,1165.0,,,no,11892320.0
2022257,"Om Patels Bright View, Yapral",Om Patels Bright View,"3rd party, Property Science",,17.519417,78.54125,,10208.0,,Gated community / Apartment,500010.0,Yapral,1265.0,,,no,12913120.0
2022258,"Om Patels Bright View, Yapral",Om Patels Bright View,"3rd party, Property Science",,17.519417,78.54125,,9320.0,,Gated community / Apartment,500010.0,Yapral,937.95,,,no,8741694.0
2022259,"Om Patels Bright View, Yapral",Om Patels Bright View,"3rd party, Property Science",,17.519417,78.54125,,9320.0,,Gated community / Apartment,500010.0,Yapral,911.95,,,no,8499374.0
2022262,"Om Sree Patels Green Park, Yapral",Om Sree Patels Green Park,"3rd party, Property Science",,17.50621978,78.54053743,,9166.0,,Commercial Spaces,500087.0,Yapral,750.0,,,no,6874500.0
2022263,"Om Sree Patels Green Park, Yapral",Om Sree Patels Green Park,"3rd party, Property Science",,17.50621978,78.54053743,,9166.0,,Commercial Spaces,500087.0,Yapral,617.5,,,no,5660005.0
2022264,"Omsree Patel's Green Park, Yapral",Omsree Patel's Green Park,"3rd party, Property Science",,17.50621978,78.54053743,,9686.0,,Commercial Spaces,500087.0,Yapral,705.25,,,no,6831051.5
2022265,"Omsree Patel's Green Park, Yapral",Omsree Patel's Green Park,"3rd party, Property Science",,17.50621978,78.54053743,,9686.0,,Commercial Spaces,500087.0,Yapral,705.25,,,no,6831051.5
2022266,"On request, Registration Colony",On request,"3rd party, Property Science",,17.5104336,78.54716093,,5914.0,,Unknown,,Registration Colony,1461.0,,,no,8640354.0
2022267,"On request, Registration Colony",On request,"3rd party, Property Science",,17.5104336,78.54716093,,5914.0,,Unknown,,Registration Colony,1449.0,,,no,8569386.0
2022268,"on request, Yapral",on request,"3rd party, Property Science",,17.50621978,78.54053743,,4190.0,,Unknown,,Yapral,1800.0,,,no,7542000.0
2022269,"on request, Yapral",on request,"3rd party, Property Science",,17.50621978,78.54053743,,4190.0,,Unknown,,Yapral,1800.0,,,no,7542000.0
2022270,"On Request, Yapral",On Request,"3rd party, Property Science",,17.50621978,78.54053743,,4291.0,,Unknown,,Yapral,1033.5,,,no,4434748.5
2022271,"On Request, Yapral",On Request,"3rd party, Property Science",,17.50621978,78.54053743,,4291.0,,Unknown,,Yapral,682.5,,,no,2928607.5
2022276,"Sapphire Homes, Yapral",Sapphire Homes,"3rd party, Property Science",,17.50621978,78.54053743,,3828.0,,Commercial Spaces,500087.0,,,,,no,
2022277,"Sapphire Homes, Yapral",Sapphire Homes,"3rd party, Property Science",,17.50621978,78.54053743,,3828.0,,Commercial Spaces,500087.0,,,,,no,
2022278,"Shaili Gardenia RWA, Yapral",Shaili Gardenia RWA,"3rd party, Property Science",,17.50621978,78.54053743,,7042.0,,Commercial Spaces,500087.0,Yapral,786.5,,,no,5538533.0
2022279,"Shaili Gardenia RWA, Yapral",Shaili Gardenia RWA,"3rd party, Property Science",,17.50621978,78.54053743,,7042.0,,Commercial Spaces,500087.0,Yapral,780.0,,,no,5492760.0
2022280,"Sri Sai Leela Enclave, Yapral",Sri Sai Leela Enclave,"3rd party, Property Science",,17.50621978,78.54053743,,5475.0,,Commercial Spaces,500087.0,Yapral,1472.0,,,no,8059200.0
2022281,"Sri Sai Leela Enclave, Yapral",Sri Sai Leela Enclave,"3rd party, Property Science",,17.50621978,78.54053743,,5475.0,,Commercial Spaces,500087.0,Yapral,942.5,,,no,5160187.5
2022282,"The Moksha, Yapral",The Moksha,"3rd party, Property Science",,17.50785189,78.54659428,,6169.0,,Stand Alone / Apartment,500087.0,Yapral,1288.3,,,no,7947522.699999999
2022283,"The Moksha, Yapral",The Moksha,"3rd party, Property Science",,17.50785189,78.54659428,,6169.0,,Stand Alone / Apartment,500087.0,Yapral,1283.75,,,no,7919453.75
2022286,"Vyshali Meadows, Registration Colony",Vyshali Meadows,"3rd party, Property Science",,17.50849694,78.5461047,,3076.0,,Stand Alone / Apartment,500087.0, khajaguda -Nanakramguda road,,,Hyderabad,no,
2022288,"Vyshali Meadows, Registration Colony",Vyshali Meadows,"3rd party, Property Science",,17.50849694,78.5461047,,3076.0,,Stand Alone / Apartment,500087.0,,4295.0,,Hyderabad,no,13211420.0
2022292,"yapral, Yapral",yapral,"3rd party, Property Science",,17.50621978,78.54053743,,4134.0,,Commercial Spaces,500087.0,Yapral,1420.25,,,no,5871313.5
2022293,"yapral, Yapral",yapral,"3rd party, Property Science",,17.50621978,78.54053743,,4134.0,,Commercial Spaces,500087.0,Yapral,1534.0,,,no,6341556.0
